isolate	category	n_reads	gc_mean	cov_mean_of_medians
MSU1	Bacteroidota	195267	44.85133519744718	2090.781237997204
MSU1	Oomycota	734886	45.39303674311476	32807.4060262408
MSU1	Streptophyta	494973	48.94436930903576	22326.539558723405
MSU1	unclassified	487928	49.3174572682833	169356.09024692167
MSU1	Other	713163	51.13977797502018	6894.448399594483
MSU1	Pseudomonadota	500874	58.456103471132266	2309.535717565695
Phumuli	Oomycota	1108409	37.55739579884411	74596.12464893374
Phumuli	Chordata	139578	44.54600094570824	25158.1132198484
Phumuli	Pseudomonadota	260456	55.42679158859855	4390.237283840649
Phumuli	Other	490954	48.51069385319184	5455.018297029865
Phumuli	Streptophyta	475780	47.645917230652316	15173.040272815168
Phumuli	unclassified	277656	48.9972005287111	35336.75123534157
SC1982	Pseudomonadota	852050	60.72098653834951	611.3371011090899
SC1982	unclassified	591398	49.359701385531494	84221.7440945015
SC1982	Oomycota	474124	47.79056316490881	20849.761577140158
SC1982	Ascomycota	178385	57.59435473834688	692.1071054180564
SC1982	Bacteroidota	411591	44.22678717464737	245.16558428148332
SC1982	Streptophyta	342435	48.832436199570324	13804.882100252602
SC1982	Other	494799	52.9678461355013	4350.10210408671
