label	test	coordinate_mq20	aligned_flanks_no_DN_ge50_mq20
MSU1_004_s1	left	202	202
MSU1_004_s1	right	186	186
MSU1_004_s1	full	64	64
MSU1_004_s2	left	193	193
MSU1_004_s2	right	191	191
MSU1_004_s2	full	0	0
MSU1_013_s1	left	160	155
MSU1_013_s1	right	192	191
MSU1_013_s1	full	0	0
SC1982_008_s1	left	43	43
SC1982_008_s1	right	52	52
SC1982_008_s1	full	1	1
OR502AA_015_s1	left	223	223
OR502AA_015_s1	right	245	244
OR502AA_015_s1	full	0	0
OR502AA_022_s1	left	236	236
OR502AA_022_s1	right	211	211
OR502AA_022_s1	full	42	42
