accession	seq_abundance
GCA_021491655.1	0.819
GCF_000300855.1	0.049
GCF_000428845.1	0.0145
GCF_001482195.1	0.0141
GCF_030869225.1	0.0103
GCF_002056795.1	0.0103
GCF_004124255.1	0.0088
GCF_013363755.1	0.0086
GCF_000018665.1	0.0085
GCF_014109845.1	0.0076
GCA_043643485.1	0.0048
GCF_004342685.1	0.0043
GCF_022699665.1	0.0042
GCF_020911885.1	0.0041
GCF_900114805.1	0.004
GCF_025941625.1	0.0034
GCF_003951285.1	0.003
GCF_039938915.1	0.0025
GCF_036240075.1	0.0024
GCF_001598335.1	0.0021
GCF_900111515.1	0.002
GCF_022899935.1	0.0018
GCF_015277895.1	0.0016
GCF_000429005.1	0.0015
GCF_001625195.1	0.0015
GCA_029168975.1	0.0015
GCF_003339505.1	0.0014
GCF_007846095.1	0.0012
GCF_963169125.1	0.0012
GCF_000004075.3	0.0011
