taxonomy_id	count
6	4
10	12
16	293
20	16
22	248
32	30
40	5
42	4
47	47
50	2
53	6
55	5
68	64
75	3748
81	25
85	15
93	1
96	4
99	617
105	4757
107	35752
113	14
118	1
133	19
157	7
171	21
191	57
194	13
209	2
222	130
226	148
234	463
237	14140
262	6
265	113
270	4
279	16
283	29730
286	30408
338	582
352	38
357	170378
374	745
379	11886
404	1
407	131
413	9
416	8
425	3
429	17
434	24
441	5
445	68
461	2
469	647
475	4
482	16
497	27
507	26
517	138
528	10
532	65
535	14
541	1
544	103
547	222
551	117
561	28
568	105
570	118
579	1
581	1
583	94
586	81
590	23
613	258
626	145
629	36
635	10
637	2
642	126
657	42
662	421
713	24
724	18
745	7
768	1
773	20
780	18
810	6
816	798
830	1
836	41
838	112
841	2
846	1
848	20
872	4
890	5
893	12
898	1
911	3
914	69
933	33
939	1
953	1
958	3563
963	28
970	6
978	139
1007	192
1016	547
1021	2
1030	29
1033	1
1041	18
1051	5
1060	8
1073	136
1091	1
1101	1
1107	1
1111	2
1125	37
1129	58
1158	13
1163	231
1177	718
1186	5
1190	104
1218	31
1234	2
1243	97
1269	10
1279	55
1298	22
1301	32
1350	25
1357	54
1372	148
1378	1
1386	94
1485	281
1562	1
1569	6
1573	27
1578	45
1637	18
1645	1
1654	40
1663	144
1678	34
1696	51
1707	89
1716	127
1730	33
1740	1
1743	2
1763	271
1813	300
1817	203
1827	208
1835	30
1839	1752
1847	51
1849	1
1851	2
1854	10
1860	19
1865	85
1873	426
1883	8444
1988	37
2000	17
2005	2
2013	21
2019	3
2034	222
2040	265
2044	21
2050	1
2053	124
2056	3
2060	5
2063	113
2071	10
2077	1
2093	5
2132	13
2349	97
2375	1
2420	2
2425	4
2433	2
2735	7
2737	45
2742	36
2745	103
3484	321
3655	152
4778	23
4780	12
4783	107
4910	25
4919	5
4930	3
4951	1
5027	119
5052	529
5073	45
5094	88
5140	551
5144	1260
5146	1133
5206	12
5296	65
5453	182
5455	35758
5475	17
5500	5
5506	16577
5529	1123
5543	3537
5598	253
9605	454
12916	599
12960	13
13034	181
13134	24
13366	2
13687	411
13724	1
28048	7
28065	223
28067	3
28070	16
28100	61
28105	685
28186	2
28196	1
28209	4
28219	1
28228	156
28250	10
28253	41
28261	1
28453	14850
28884	15
29002	107
29330	14
29404	15
29407	12
29465	4
29487	1
29521	1
29548	11
29580	83
31988	178
32008	272
32012	2
32014	4
32067	18
32199	26
32207	28
32257	2
32636	70
33024	16
33055	16
33057	17
33071	2
33170	3
33196	57
33877	1749
33882	5662
33886	186
33951	32
33981	2
33986	10
34008	4
34037	33
34069	40
34072	10297
34084	101
34098	117
34102	4
34104	1
34448	7
35753	21
35798	3
35812	3
36853	1
36862	7
36913	6
37914	4
38501	7
39643	15
39845	2
40222	107
40323	26383
40544	11
41273	3
41275	2176
42255	2
42417	3
43356	26
43668	46
43676	2
43773	4
43947	4
44000	28
44011	1
44013	46
44249	620
44259	1
44260	1
44474	19
44675	1
45402	14
45654	6
45662	2
45667	14
46200	20
46239	3
46255	1
46352	13771
46913	8604
47251	11
47420	304
48073	307
48075	16
48558	3227
48736	56
49277	77
50709	3
51194	1
52959	187
52972	17
53246	53
53335	65
53355	1
53357	15
53365	2
53392	4
53457	30
53460	327
53572	1
53945	1
54066	27
54304	2
