label	species	contig	region	start	end	length	gc_pct	repeat_pct	n_genes	gene_density_per_10kb
MSU1_004_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	177773	184368	6596	57.32	2.03	4.0	6.06
MSU1_004_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	host_contig_whole	1	6051858	6051858	49.66	41.12		
MSU1_004_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_upstream	171177	177772	6596	45.3	17.54	2.0	3.03
MSU1_004_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_downstream	184369	190964	6596	49.5	92.77	1.0	1.52
MSU1_004_s2	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	34010	50.9	67.6	7.0	2.06
MSU1_004_s2	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_upstream	205375	239384	34010	50.68	82.73	4.0	1.18
MSU1_004_s2	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_downstream	273395	307404	34010	49.65	10.34	13.0	3.82
MSU1_013_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_013	span	1104526	1156743	52218	49.25	0.16	40.0	7.66
MSU1_013_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_013	host_contig_whole	1	3266376	3266376	48.58	60.51		
MSU1_013_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_013	flank_upstream	1052308	1104525	52218	49.23	57.33	13.0	2.49
MSU1_013_s1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_013	flank_downstream	1156744	1208961	52218	47.81	6.09	34.0	6.51
SC1982_008_s1	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_008	span	1092633	1100584	7952	50.25	1.89	3.0	3.77
SC1982_008_s1	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_008	host_contig_whole	1	3273045	3273045	48.32	59.67		
SC1982_008_s1	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_008	flank_upstream	1084681	1092632	7952	47.74	48.94	3.0	3.77
SC1982_008_s1	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_008	flank_downstream	1100585	1108536	7952	49.31	99.59	1.0	1.26
SC1982_037_whole	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_037	span	1	517250	517250	52.8	1.2	287.0	5.55
SC1982_037_whole	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_037	host_contig_whole	1	517250	517250	52.8	1.2		
SC1982_071_whole	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_071	span	1	118813	118813	53.21	0.25	78.0	6.56
SC1982_071_whole	Pseudoperonospora_cubensis_SC1982	Pcub-SC1982_071	host_contig_whole	1	118813	118813	53.21	0.25		
OR502AA_015_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_015	span	729948	761124	31177	49.37	80.74	3.0	0.96
OR502AA_015_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_015	host_contig_whole	1	2318444	2318444	48.73	55.43		
OR502AA_015_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_015	flank_upstream	698771	729947	31177	49.75	12.97	19.0	6.09
OR502AA_015_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_015	flank_downstream	761125	792301	31177	47.87	99.59	0.0	0.0
OR502AA_022_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_022	span	205298	215039	9742	57.06	86.81	2.0	2.05
OR502AA_022_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_022	host_contig_whole	1	1350252	1350252	49.64	30.25		
OR502AA_022_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_022	flank_upstream	195556	205297	9742	46.86	54.14	1.0	1.03
OR502AA_022_s1	Pseudoperonospora_humuli_OR502AA	Phum-OR502AA_022	flank_downstream	215040	224781	9742	49.93	99.98	0.0	0.0
