id	source	Description
Pcub-SC1982_001_001098.1	eggnog	Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
Pcub-SC1982_001_001097.1	blastp	Homology to Peronospora effusa predicted protein RQM09068.1
Pcub-SC1982_001_000001.1	eggnog	RNA recognition motif
Pcub-SC1982_001_001096.1	eggnog	Glycosyl hydrolase family 81
Pcub-SC1982_001_000002.1	eggnog	Glycosyl hydrolase family 10
Pcub-SC1982_001_000003.1	eggnog	Glycosyl transferase family 4
Pcub-SC1982_001_001095.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001094.1	eggnog	domain-containing protein
Pcub-SC1982_001_001093.1	eggnog	ABC transporter
Pcub-SC1982_001_001092.1	eggnog	ABC transporter
Pcub-SC1982_001_000004.1	eggnog	domain-containing protein
Pcub-SC1982_001_000005.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000006.1	eggnog	Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
Pcub-SC1982_001_001091.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001090.1	eggnog	domain-containing protein
Pcub-SC1982_001_001089.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001088.1	eggnog	domain-containing protein
Pcub-SC1982_001_001087.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001086.1	eggnog	domain-containing protein
Pcub-SC1982_001_001085.1	eggnog	Annexin repeats
Pcub-SC1982_001_000007.1	eggnog	Dynamin family
Pcub-SC1982_001_001084.1	blastp	Homology to Peronospora effusa predicted protein RQM09518.1
Pcub-SC1982_001_000008.1	eggnog	Annexin repeats
Pcub-SC1982_001_000009.1	eggnog	Phosphotransferase enzyme family
Pcub-SC1982_001_001083.1	eggnog	DHHC palmitoyltransferase
Pcub-SC1982_001_000010.1	eggnog	Vitamin B6 photo-protection and homoeostasis
Pcub-SC1982_001_000011.1	eggnog	Ankyrin repeat
Pcub-SC1982_001_001082.1	eggnog	domain-containing protein
Pcub-SC1982_001_000012.1	interproscan	PTHR12943 domain-containing protein
