protein_id	contig	start_1based	end_1based	post_split_start	post_split_end	strand	gene_length_bp	mapq_threshold	required_flank_each_side_bp	overlapping_primary_reads	full_gene_spanning_reads	gene_internal_in_read_with_flanks	internal_fraction_of_full_spanning
Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	17847	19205	-	1359	30	1000	133	77	32	0.415584
Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	19466	20711	-	1246	30	1000	117	79	55	0.696203
Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	20939	22275	-	1337	30	1000	98	59	18	0.305085
Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	36408	37568	+	1161	30	1000	104	68	27	0.397059
Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	37938	39139	+	1202	30	1000	110	79	28	0.354430
Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	68364	69711	+	1348	30	1000	62	41	12	0.292683
Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	110128	111275	-	1148	30	1000	93	58	22	0.379310
Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	111645	112814	-	1170	30	1000	91	48	26	0.541667
Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	113175	114344	-	1170	30	1000	78	61	21	0.344262
Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	114714	115900	-	1187	30	1000	61	37	20	0.540541
Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	116252	117416	-	1165	30	1000	39	21	13	0.619048
Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	117742	118952	-	1211	30	1000	39	20	13	0.650000
Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	119316	120502	-	1187	30	1000	59	37	15	0.405405
Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	120883	122686	-	1804	30	1000	90	56	27	0.482143
