feature_type	feature_id	contig	start_1based	end_1based	post_split_start	post_split_end	strand	length_bp	mean_depth_mapq30	median_depth_mapq30	min_depth_mapq30	max_depth_mapq30	covered_fraction_mapq30
contig	Pcub-SC1982_002	Pcub-SC1982_002	1	4835754	NA	NA	.	4835754	137.387109	88.000000	0	10277	0.996701
gene	Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	17847	19205	-	1359	105.618837	106.000000	94	110	1.000000
gene	Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	19466	20711	-	1246	99.011236	100.000000	80	106	1.000000
gene	Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	20939	22275	-	1337	83.155572	85.000000	68	89	1.000000
gene	Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	36408	37568	+	1161	93.743325	94.000000	80	96	1.000000
gene	Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	37938	39139	+	1202	96.126456	97.000000	88	103	1.000000
gene	Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	68364	69711	+	1348	52.422849	53.000000	48	55	1.000000
gene	Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	110128	111275	-	1148	74.951220	74.000000	67	84	1.000000
gene	Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	111645	112814	-	1170	68.647863	71.000000	59	78	1.000000
gene	Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	113175	114344	-	1170	69.829060	70.000000	65	73	1.000000
gene	Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	114714	115900	-	1187	48.846672	47.000000	36	60	1.000000
gene	Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	116252	117416	-	1165	29.296137	29.000000	23	34	1.000000
gene	Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	117742	118952	-	1211	28.047069	27.000000	24	34	1.000000
gene	Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	119316	120502	-	1187	47.691660	49.000000	39	56	1.000000
gene	Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	120883	122686	-	1804	75.734479	76.000000	67	82	1.000000
