#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name	sample
ctg4316	1	7921	7921	EXCLUDE	prok:a-proteobacteria	58	Devosia psychrophila	Quesada_SQIIe_MSU1
ctg5180	1	13152	13152	EXCLUDE	prok:high GC Gram+	100	Aeromicrobium sp.	Quesada_SQIIe_MSU1
ctg8117	1	46727	46727	EXCLUDE	prok:CFB group bacteria	45	Dyadobacter bucti	Quesada_SQIIe_MSU1
ctg4988	1	9418	9418	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg5067	1	6936	6936	EXCLUDE	prok:high GC Gram+	100	Aeromicrobium sp.	Quesada_SQIIe_MSU1
ctg5064	1	8079	8079	EXCLUDE	prok:a-proteobacteria	93	Devosia oryziradicis	Quesada_SQIIe_MSU1
ctg5206	1	12713	12713	EXCLUDE	prok:a-proteobacteria	100	Roseomonas deserti	Quesada_SQIIe_MSU1
ctg5028	1	8997	8997	EXCLUDE	prok:high GC Gram+	81	Tsukamurella conjunctivitidis	Quesada_SQIIe_MSU1
ctg4269	1	6931	6931	EXCLUDE	prok:high GC Gram+	83	Nocardioides rubriscoriae	Quesada_SQIIe_MSU1
ctg8113	1	74826	74826	EXCLUDE	prok:b-proteobacteria	81	Variovorax guangxiensis	Quesada_SQIIe_MSU1
ctg5060	1	9711	9711	EXCLUDE	prok:b-proteobacteria	98	Delftia acidovorans	Quesada_SQIIe_MSU1
ctg5203	1	11999	11999	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans	Quesada_SQIIe_MSU1
ctg4986	1	8318	8318	EXCLUDE	prok:a-proteobacteria	100	Sphingopyxis terrae	Quesada_SQIIe_MSU1
ctg5056	1	11856	11856	EXCLUDE	prok:g-proteobacteria	54	Pseudomonas flavescens	Quesada_SQIIe_MSU1
ctg5214	1	10741	10741	EXCLUDE	prok:b-proteobacteria	98	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg4995	1	9048	9048	EXCLUDE	prok:b-proteobacteria	71	Cupriavidus sp.	Quesada_SQIIe_MSU1
ctg5282	1	8417	8417	EXCLUDE	prok:a-proteobacteria	100	Devosia elaeis	Quesada_SQIIe_MSU1
ctg8156	1	87442	87442	EXCLUDE	prok:b-proteobacteria	92	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg5284	1	9251	9251	EXCLUDE	prok:high GC Gram+	69	Aeromicrobium sp.	Quesada_SQIIe_MSU1
ctg5189	1	12232	12232	EXCLUDE	prok:a-proteobacteria	100	Devosia soli	Quesada_SQIIe_MSU1
ctg5191	1	8859	8859	EXCLUDE	prok:a-proteobacteria	100	Corticibacterium populi	Quesada_SQIIe_MSU1
ctg5286	1	11110	11110	EXCLUDE	prok:high GC Gram+	96	Rathayibacter festucae	Quesada_SQIIe_MSU1
ctg5273	1	13597	13597	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabacearum	Quesada_SQIIe_MSU1
ctg8702	1	2902565	2902565	EXCLUDE	fung:ascomycetes	95	Plectosphaerella cucumerina	Quesada_SQIIe_MSU1
ctg4322	1	6559	6559	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg6512	1	16252	16252	EXCLUDE	prok:high GC Gram+	100	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg4989	1	7926	7926	EXCLUDE	prok:high GC Gram+	100	Microbacterium testaceum	Quesada_SQIIe_MSU1
