label	query_protein	gene_start	gene_end	nr_sseqid	nr_sspecies	nr_stitle	nr_pident	nr_length	nr_qlen	nr_slen	nr_qcovhsp	nr_evalue	nr_bitscore	oomycota_sseqid	oomycota_sspecies	oomycota_stitle	oomycota_pident	oomycota_length	oomycota_qlen	oomycota_slen	oomycota_qcovhsp	oomycota_evalue	oomycota_bitscore
MSU1_004_s1	Pcub-MSU1_004_000028.1	177237	179894	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	81.1	228	533	318	42.8	1.79e-122	373	KAK1944615.1	Phytophthora citrophthora	KAK1944615.1 Cilia- and flagella-associated protein 52 [Phytophthora citrophthora]	46.1	141	533	953	18.0	9.46e-21	101
MSU1_004_s1	Pcub-MSU1_004_000029.1	180295	181462	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	72.0	321	299	318	99.7	2.12e-155	447										
MSU1_004_s1	Pcub-MSU1_004_000030.1	181823	182972	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	72.3	321	299	318	99.7	7.41e-156	448	KAG4220899.1	Phytophthora cactorum	KAG4220899.1 hypothetical protein PC116_g30622 [Phytophthora cactorum]	26.4	159	299	259	52.8	4.09e-05	49.3
MSU1_004_s1	Pcub-MSU1_004_000031.1	183355	184526	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	72.3	321	299	318	99.7	1.22e-154	445										
MSU1_004_s2	Pcub-MSU1_004_000033.1	266092	267354	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	71.6	317	299	318	99.7	6.70e-152	438										
MSU1_004_s2	Pcub-MSU1_004_000034.1	267655	268888	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	71.3	317	299	318	99.7	2.72e-151	437										
MSU1_004_s2	Pcub-MSU1_004_000035.1	269205	270438	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	71.6	317	299	318	99.7	6.70e-152	438										
MSU1_004_s2	Pcub-MSU1_004_000036.1	270742	271978	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	71.6	317	299	318	99.7	6.70e-152	438										
MSU1_004_s2	Pcub-MSU1_004_000037.1	272272	273649	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	71.3	317	299	318	99.7	5.48e-151	436										
MSU1_004_s2	Pcub-MSU1_004_001127.1	240395	241622	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	74.4	317	292	318	99.7	2.17e-160	459										
MSU1_004_s2	Pcub-MSU1_004_001128.1	238754	240026	KAH7347653.1	Plectosphaerella cucumerina	KAH7347653.1 hypothetical protein B0T11DRAFT_333733 [Plectosphaerella cucumerina]	74.4	317	292	318	99.7	1.53e-160	460	RLN51069.1	Phytophthora kernoviae	RLN51069.1 hypothetical protein BBP00_00009975 [Phytophthora kernoviae]	25.9	293	292	327	96.2	3.91e-04	46.6
MSU1_013_s1	Pcub-MSU1_013_000120.1	1112191	1113308	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000121.1	1113500	1114605	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000122.1	1114724	1115759	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000123.1	1115953	1116966	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000124.1	1117165	1118199	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000125.1	1118394	1119257	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000126.1	1120876	1121907	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000127.1	1122105	1123141	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	2.51e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.82e-12	68.6
MSU1_013_s1	Pcub-MSU1_013_000128.1	1123337	1124338	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000129.1	1124544	1125588	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	2.51e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.82e-12	68.6
MSU1_013_s1	Pcub-MSU1_013_000130.1	1125782	1126786	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000131.1	1127002	1128098	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	96.1	129	184	346	70.1	1.92e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	3.63e-13	70.5
MSU1_013_s1	Pcub-MSU1_013_000132.1	1128215	1129242	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.8	129	184	346	70.1	6.23e-77	244	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000133.1	1129427	1130448	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.0	129	184	346	70.1	1.25e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000134.1	1130629	1131732	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.0	129	184	346	70.1	1.25e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000135.1	1131833	1132863	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.0	129	184	346	70.1	1.43e-75	241	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	52.2	67	184	272	36.4	2.36e-11	65.5
MSU1_013_s1	Pcub-MSU1_013_000136.1	1133057	1134075	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.09e-77	246	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.82e-12	68.6
MSU1_013_s1	Pcub-MSU1_013_000137.1	1134281	1135301	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	3.11e-77	245	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	52.2	67	184	272	36.4	2.36e-11	65.5
MSU1_013_s1	Pcub-MSU1_013_000138.1	1135493	1136586	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.0	129	184	346	70.1	8.14e-75	239	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	52.2	67	184	272	36.4	1.16e-10	63.5
