contig	start_1based	end_1based	feature_id	strand	length_bp	mean_depth_mq0	covered_fraction_mq0	mean_depth_mq20	covered_fraction_mq20
Pcub-SC1982_002	2523547	2533546	window_0001	.	10000	1777.455600	1.000000	1776.592000	1.000000
Pcub-SC1982_002	2533547	2543546	window_0002	.	10000	95.113700	1.000000	95.113700	1.000000
Pcub-SC1982_002	2543547	2553546	window_0003	.	10000	91.350000	1.000000	91.350000	1.000000
Pcub-SC1982_002	2553547	2563546	window_0004	.	10000	96.970800	1.000000	96.944700	1.000000
Pcub-SC1982_002	2563547	2573546	window_0005	.	10000	91.706300	1.000000	91.706300	1.000000
Pcub-SC1982_002	2573547	2583546	window_0006	.	10000	109.116500	1.000000	108.746000	1.000000
Pcub-SC1982_002	2583547	2593546	window_0007	.	10000	101.376000	1.000000	101.376000	1.000000
Pcub-SC1982_002	2593547	2603546	window_0008	.	10000	100.351200	1.000000	100.351200	1.000000
Pcub-SC1982_002	2603547	2613546	window_0009	.	10000	89.827100	1.000000	89.827100	1.000000
Pcub-SC1982_002	2613547	2623546	window_0010	.	10000	89.435100	1.000000	89.435100	1.000000
Pcub-SC1982_002	2623547	2633546	window_0011	.	10000	85.096200	1.000000	85.096200	1.000000
Pcub-SC1982_002	2633547	2643546	window_0012	.	10000	87.750600	1.000000	87.750600	1.000000
Pcub-SC1982_002	2643547	2653546	window_0013	.	10000	542.315500	1.000000	488.470800	1.000000
Pcub-SC1982_002	2653547	2663546	window_0014	.	10000	449.320900	1.000000	437.311600	1.000000
Pcub-SC1982_002	2663547	2673546	window_0015	.	10000	70.842700	1.000000	54.022000	1.000000
Pcub-SC1982_002	2673547	2683546	window_0016	.	10000	40.636400	1.000000	39.771300	1.000000
Pcub-SC1982_002	2683547	2693546	window_0017	.	10000	100.342100	1.000000	81.185900	1.000000
Pcub-SC1982_002	2693547	2703546	window_0018	.	10000	76.691300	1.000000	69.729900	1.000000
Pcub-SC1982_002	2703547	2713546	window_0019	.	10000	77.641300	1.000000	67.946700	1.000000
Pcub-SC1982_002	2713547	2723546	window_0020	.	10000	50.269600	1.000000	50.114200	1.000000
Pcub-SC1982_002	2723547	2733546	window_0021	.	10000	48.253400	1.000000	43.799800	1.000000
Pcub-SC1982_002	2733547	2743546	window_0022	.	10000	50.572300	1.000000	48.895000	1.000000
Pcub-SC1982_002	2743547	2753546	window_0023	.	10000	37.858400	1.000000	37.690500	1.000000
Pcub-SC1982_002	2753547	2763546	window_0024	.	10000	45.209400	1.000000	44.625900	1.000000
Pcub-SC1982_002	2763547	2773546	window_0025	.	10000	63.033200	1.000000	34.766000	1.000000
Pcub-SC1982_002	2773547	2783546	window_0026	.	10000	79.429800	1.000000	52.250700	1.000000
Pcub-SC1982_002	2783547	2793546	window_0027	.	10000	117.877900	1.000000	85.643200	1.000000
Pcub-SC1982_002	2793547	2803546	window_0028	.	10000	79.519600	1.000000	63.107400	1.000000
Pcub-SC1982_002	2803547	2813546	window_0029	.	10000	71.557500	1.000000	70.996500	1.000000
Pcub-SC1982_002	2813547	2823546	window_0030	.	10000	92.253000	1.000000	92.253000	1.000000
Pcub-SC1982_002	2823547	2833546	window_0031	.	10000	73.766400	1.000000	73.766400	1.000000
Pcub-SC1982_002	2833547	2843546	window_0032	.	10000	111.761300	1.000000	111.761300	1.000000
Pcub-SC1982_002	2843547	2853546	window_0033	.	10000	106.540200	1.000000	106.540200	1.000000
Pcub-SC1982_002	2853547	2863546	window_0034	.	10000	99.046000	1.000000	99.046000	1.000000
Pcub-SC1982_002	2863547	2873546	window_0035	.	10000	68.730400	1.000000	68.730400	1.000000
Pcub-SC1982_002	2873547	2883546	window_0036	.	10000	94.805700	1.000000	94.805700	1.000000
Pcub-SC1982_002	2883547	2893546	window_0037	.	10000	81.507600	1.000000	81.507600	1.000000
Pcub-SC1982_002	2893547	2903546	window_0038	.	10000	108.267100	1.000000	108.113200	1.000000
Pcub-SC1982_002	2903547	2913546	window_0039	.	10000	100.884400	1.000000	100.498100	1.000000
Pcub-SC1982_002	2913547	2923546	window_0040	.	10000	94.250100	1.000000	94.250100	1.000000
Pcub-SC1982_002	2923547	2933546	window_0041	.	10000	94.734100	1.000000	94.734100	1.000000
Pcub-SC1982_002	2933547	2943546	window_0042	.	10000	1607.113900	1.000000	286.347300	1.000000
Pcub-SC1982_002	2943547	2953546	window_0043	.	10000	4209.648500	1.000000	1978.511200	1.000000
Pcub-SC1982_002	2953547	2963546	window_0044	.	10000	830.897300	1.000000	618.197100	1.000000
Pcub-SC1982_002	2963547	2973546	window_0045	.	10000	96.193100	1.000000	96.193100	1.000000
Pcub-SC1982_002	2973547	2983546	window_0046	.	10000	111.591600	1.000000	111.591600	1.000000
Pcub-SC1982_002	2983547	2993546	window_0047	.	10000	125.973800	1.000000	125.973800	1.000000
Pcub-SC1982_002	2993547	3003546	window_0048	.	10000	97.557700	1.000000	97.557700	1.000000
Pcub-SC1982_002	3003547	3013546	window_0049	.	10000	104.766900	1.000000	104.766900	1.000000
Pcub-SC1982_002	3013547	3023546	window_0050	.	10000	100.471900	1.000000	100.471900	1.000000
