id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_001_000001.1	eggnog	Pc21g00130 protein. Source PGD	0	0	0
Phum-OR502AA_001_000002.1	unannotated	Hypothetical protein of unknown function	24	55	57
Phum-OR502AA_001_000902.1	eggnog	Sugar-transfer associated ATP-grasp	59	166	202
Phum-OR502AA_001_000003.1	eggnog	Leucine-rich repeats, outliers	1	0	0
Phum-OR502AA_001_000004.1	blastp	Homology to Peronospora destructor predicted protein CAI5715031.1	0	2.981	0
Phum-OR502AA_001_000005.1	eggnog	Origin recognition complex (ORC) subunit 4 C-terminus	42	76.175	115.204
Phum-OR502AA_001_000006.1	blastp	Homology to Peronospora destructor predicted protein CAI5715031.1	170	223.019	314
Phum-OR502AA_001_000007.1	blastp	Homology to Peronospora destructor predicted protein CAI5715063.1	81	103	197
Phum-OR502AA_001_000008.1	eggnog	WD40 repeats	339	837	1051
Phum-OR502AA_001_000901.1	eggnog	tRNA pseudouridine synthase	41	51	88
Phum-OR502AA_001_000009.1	eggnog	Sterile alpha motif	65	138	173
Phum-OR502AA_001_000900.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000899.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000898.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000897.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000896.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000895.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000894.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000893.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000892.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000891.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000890.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000889.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000888.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000887.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000886.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000885.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000884.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000883.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000882.1	eggnog	Chitinase class I	0	0	0
Phum-OR502AA_001_000881.1	eggnog	Chitinase class I	27	179	229
Phum-OR502AA_001_000010.1	eggnog	Major Facilitator Superfamily	601	1014	1487
Phum-OR502AA_001_000880.1	eggnog	domain-containing protein	709	1062	1652
Phum-OR502AA_001_000011.1	unannotated	Hypothetical protein of unknown function	51	61	217
Phum-OR502AA_001_000879.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7479927.1	4	81	56
Phum-OR502AA_001_000878.1	eggnog	DEAD_2	61	106	133
Phum-OR502AA_001_000012.1	eggnog	Sodium:dicarboxylate symporter family	10	66	115
Phum-OR502AA_001_000877.1	eggnog	Belongs to the CD36 family	82	1698	2044
Phum-OR502AA_001_000876.1	eggnog	Belongs to the CD36 family	381	1355	1868
Phum-OR502AA_001_000013.1	eggnog	domain-containing protein	556	848	1263
Phum-OR502AA_001_000875.1	eggnog	E2_bind	393	544	759
Phum-OR502AA_001_000014.1	eggnog	Chitinase class I	90	85	127
Phum-OR502AA_001_000874.1	unannotated	Hypothetical protein of unknown function	175	326	519
Phum-OR502AA_001_000873.1	eggnog	Chitinase class I	119.508	119.782	146.41
Phum-OR502AA_001_000872.1	eggnog	Chitinase class I	100.608	117.218	236.59
Phum-OR502AA_001_000871.1	eggnog	Chitinase class I	64.883	34	75
Phum-OR502AA_001_000870.1	blastp	Homology to Phytophthora rubi predicted protein KAE9307886.1	35	84	188
Phum-OR502AA_001_000015.1	eggnog	Glycosyl transferase family 41	70.093	240.21	530.653
Phum-OR502AA_001_000869.1	eggnog	Peptidase S24-like	557.347	459.785	871.995
Phum-OR502AA_001_000016.1	eggnog	domain-containing protein	26.048	34.878	49.181
Phum-OR502AA_001_000868.1	blastp	Homology to Peronospora effusa predicted protein RMX68963.1	84.554	95.863	165.463
Phum-OR502AA_001_000867.1	eggnog	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases	200.735	319.361	327.071
Phum-OR502AA_001_000017.1	eggnog	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases	195.265	190.639	515.929
Phum-OR502AA_001_000018.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485933.1	152.446	251.137	417.537
Phum-OR502AA_001_000866.1	eggnog	domain-containing protein	111.952	95.122	131.819
Phum-OR502AA_001_000019.1	eggnog	Peptidase S24-like	95.653	68.215	162.005
Phum-OR502AA_001_000020.1	unannotated	Hypothetical protein of unknown function	0	0	1
Phum-OR502AA_001_000865.1	eggnog	Glycosyl transferase family 41	291.907	418.79	744.347
Phum-OR502AA_001_000021.1	eggnog	Aph-1 protein	431	576	848
Phum-OR502AA_001_000864.1	eggnog	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	195	431	485
Phum-OR502AA_001_000863.1	eggnog	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	1018	2509	3141
Phum-OR502AA_001_000022.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	2	3.664	3.102
Phum-OR502AA_001_000862.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	0	0
Phum-OR502AA_001_000861.1	eggnog	GMC oxidoreductase	0	0	2.33
Phum-OR502AA_001_000023.1	eggnog	GMC oxidoreductase	0	0	0
Phum-OR502AA_001_000024.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	4.336	7.898
Phum-OR502AA_001_000860.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	0	0
Phum-OR502AA_001_000859.1	eggnog	GMC oxidoreductase	0	0	33.67
Phum-OR502AA_001_000025.1	eggnog	GMC oxidoreductase	2	0	0
Phum-OR502AA_001_000026.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	0	0
Phum-OR502AA_001_000858.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	0	0
Phum-OR502AA_001_000857.1	eggnog	GMC oxidoreductase	0	11	0
Phum-OR502AA_001_000027.1	eggnog	GMC oxidoreductase	0	0	0
Phum-OR502AA_001_000028.1	eggnog	regulation of membrane repolarization during atrial cardiac muscle cell action potential	0	0	0
Phum-OR502AA_001_000856.1	unannotated	Hypothetical protein of unknown function	6	6	12
Phum-OR502AA_001_000029.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9357220.1	12	46	23
Phum-OR502AA_001_000030.1	blastp	Homology to Phytophthora nicotianae predicted protein KUG01977.1	14	74	35
Phum-OR502AA_001_000855.1	eggnog	domain-containing protein	120	116	168
Phum-OR502AA_001_000031.1	eggnog	ATP-binding Cassette (ABC) Superfamily. Source PGD	68	95	93
Phum-OR502AA_001_000854.1	blastp	Homology to Phytophthora nicotianae predicted protein ETL80485.1	57	133	153
Phum-OR502AA_001_000032.1	eggnog	proton export across plasma membrane	4887.795	2509.295	3665.424
Phum-OR502AA_001_000033.1	eggnog	proton export across plasma membrane	6711.205	5199.705	8542.576
Phum-OR502AA_001_000034.1	eggnog	domain-containing protein	76	90	210
Phum-OR502AA_001_000035.1	eggnog	domain-containing protein	479	693	1090
Phum-OR502AA_001_000036.1	eggnog	Choline/Carnitine o-acyltransferase	358	605	651
Phum-OR502AA_001_000037.1	eggnog	Metal dependent phosphohydrolases with conserved 'HD' motif	34	99	133
Phum-OR502AA_001_000038.1	blastp	Homology to Phytophthora rubi predicted protein KAE9037498.1	15	53	56
Phum-OR502AA_001_000039.1	eggnog	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus	123	214	289
Phum-OR502AA_001_000040.1	interproscan	PTHR31742 domain-containing protein	45	111	170
Phum-OR502AA_001_000853.1	interproscan	PTHR31134 domain-containing protein	54	133	149
Phum-OR502AA_001_000041.1	unannotated	Hypothetical protein of unknown function	3	3	2
Phum-OR502AA_001_000852.1	eggnog	Vacuolar membrane-associated protein Iml1	126	268	383
Phum-OR502AA_001_000042.1	eggnog	Extension to Ser/Thr-type protein kinases	292	396	564
Phum-OR502AA_001_000851.1	unannotated	Hypothetical protein of unknown function	0	4	11
Phum-OR502AA_001_000043.1	eggnog	isochorismatase domain-containing protein (MAR1)	0	0	0
Phum-OR502AA_001_000850.1	eggnog	isochorismatase domain-containing protein (MAR1)	4.003	4.006	4
Phum-OR502AA_001_000044.1	eggnog	RNA recognition motif 2	10.237	33.403	23.792
Phum-OR502AA_001_000849.1	eggnog	domain-containing protein	189.799	244.3	362.989
Phum-OR502AA_001_000848.1	blastp	Homology to Peronospora effusa predicted protein RMX68624.1	201	303	400
Phum-OR502AA_001_000045.1	eggnog	Family of unknown function (DUF572)	52	115	188
Phum-OR502AA_001_000847.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008911344.1	55	121	234
Phum-OR502AA_001_000046.1	eggnog	Diacylglycerol acyltransferase	281	196	327
Phum-OR502AA_001_000846.1	eggnog	domain-containing protein	258	415	603
Phum-OR502AA_001_000845.1	interproscan	c(""Pol polyprotein"", "" beta-barrel domain"") (PF22936)	0	7	7
Phum-OR502AA_001_000844.1	eggnog	RNA recognition motif 2	0	3.199	12.264
Phum-OR502AA_001_000047.1	eggnog	domain-containing protein	1.041	1.034	4.241
Phum-OR502AA_001_000048.1	eggnog	domain-containing protein	41.159	46.666	85.77
Phum-OR502AA_001_000843.1	eggnog	RNA recognition motif 2	494.763	784.398	909.945
Phum-OR502AA_001_000049.1	eggnog	Involved in the catabolism of quinolinic acid (QA)	486	835	1270
Phum-OR502AA_001_000842.1	blastp	Homology to predicted protein KAH7500901.1	35	71	110
Phum-OR502AA_001_000050.1	eggnog	EF-hand domain pair	815	1323	1939
Phum-OR502AA_001_000841.1	interproscan	PTHR13639 domain-containing protein	37	69	86
Phum-OR502AA_001_000051.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7479960.1	26	42	75
Phum-OR502AA_001_000840.1	eggnog	Glucose inhibited division protein A	127	157	194
Phum-OR502AA_001_000052.1	eggnog	Domain of unknown function (DUF2431)	57	92	97
Phum-OR502AA_001_000839.1	eggnog	domain-containing protein	815	1104	1242
Phum-OR502AA_001_000053.1	eggnog	M-phase phosphoprotein 6	244	200	300
Phum-OR502AA_001_000838.1	eggnog	Zinc knuckle	15	38	47
Phum-OR502AA_001_000054.1	eggnog	domain-containing protein	0	1	59
Phum-OR502AA_001_000837.1	eggnog	Domain Homologous to E6-AP Carboxyl Terminus with	696	1155	1584
Phum-OR502AA_001_000055.1	eggnog	domain-containing protein	377	523	698
Phum-OR502AA_001_000836.1	eggnog	response to water deprivation	46	316	1769
Phum-OR502AA_001_000056.1	blastp	Homology to Peronospora effusa predicted protein RQM14897.1	1	1	1
Phum-OR502AA_001_000057.1	eggnog	Crinkler (CRN) family protein	0	0	0
Phum-OR502AA_001_000058.1	eggnog	Crinkler (CRN) family protein	0	0	0
Phum-OR502AA_001_000059.1	eggnog	Crinkler (CRN) family protein	0	0	0
Phum-OR502AA_001_000835.1	eggnog	Crinkler (CRN) family protein	1	5	8
Phum-OR502AA_001_000834.1	blastp	Homology to Peronospora destructor predicted protein CAI5746642.1	160.183	1395.189	3406.418
Phum-OR502AA_001_000060.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0522600.1	87.817	1882.811	5137.582
Phum-OR502AA_001_000061.1	eggnog	domain-containing protein	1	353	620
Phum-OR502AA_001_000833.1	blastp	Homology to Phytophthora nicotianae predicted protein KUF76326.1	45	35	61
Phum-OR502AA_001_000062.1	blastp	Homology to Peronospora effusa predicted protein CAI5724964.1	235	244	349
Phum-OR502AA_001_000063.1	interproscan	PTHR24099 domain-containing protein	0	33	56
Phum-OR502AA_001_000832.1	eggnog	domain-containing protein	225	211	240
Phum-OR502AA_001_000064.1	eggnog	domain-containing protein	2555	2383	3456
Phum-OR502AA_001_000831.1	eggnog	Rad17 cell cycle checkpoint protein	220	322	482
Phum-OR502AA_001_000065.1	blastp	Homology to Phytophthora nicotianae predicted protein ETL84766.1	3376	4147	6102
Phum-OR502AA_001_000066.1	eggnog	large conductance calcium-activated potassium channel activity	11	67	69
Phum-OR502AA_001_000830.1	eggnog	WD40 repeats	163	154	246
Phum-OR502AA_001_000829.1	blastp	Homology to Peronospora destructor predicted protein CAI5746631.1	99	170	230
Phum-OR502AA_001_000067.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000068.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000069.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000070.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000071.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000072.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000073.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000074.1	unannotated	Hypothetical protein of unknown function	0	4	7
Phum-OR502AA_001_000075.1	unannotated	Hypothetical protein of unknown function	19	17	39
Phum-OR502AA_001_000828.1	unannotated	Hypothetical protein of unknown function	99	53	75
Phum-OR502AA_001_000076.1	eggnog	Nuf2 family	381	466	738
Phum-OR502AA_001_000827.1	interproscan	PTHR24111 domain-containing protein	129	221	297
Phum-OR502AA_001_000826.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0522613.1	0	6	48
Phum-OR502AA_001_000825.1	eggnog	Indole-3-glycerol phosphate synthase	783	936	1259
Phum-OR502AA_001_000824.1	eggnog	domain-containing protein	450	639	899
Phum-OR502AA_001_000823.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1	626	982	1289
Phum-OR502AA_001_000822.1	eggnog	Adds multiple copies of isopentenyl pyrophosphate (IPP) to farnesyl pyrophosphate (FPP) to produce dehydrodolichyl diphosphate (Dedol-PP), a precursor of dolichol which is utilized as a sugar carrier in protein glycosylation in the endoplasmic reticulum (ER)	164	141	211
Phum-OR502AA_001_000077.1	eggnog	Putative methyltransferase	49	80	99
Phum-OR502AA_001_000821.1	eggnog	Adds multiple copies of isopentenyl pyrophosphate (IPP) to farnesyl pyrophosphate (FPP) to produce dehydrodolichyl diphosphate (Dedol-PP), a precursor of dolichol which is utilized as a sugar carrier in protein glycosylation in the endoplasmic reticulum (ER)	135	371	421
Phum-OR502AA_001_000078.1	eggnog	UreF	18	54	62
Phum-OR502AA_001_000079.1	eggnog	WD40 repeats	119	535	599
Phum-OR502AA_001_000080.1	eggnog	Helical region found in SNAREs	58	83	204
Phum-OR502AA_001_000820.1	blastp	Homology to Phytophthora cactorum;Phytophthora aleatoria predicted protein KAF1777074.1	293	555	975
Phum-OR502AA_001_000081.1	eggnog	Cid1 family poly A polymerase	587.346	810.42	1199.542
Phum-OR502AA_001_000819.1	eggnog	Cid1 family poly A polymerase	1.403	17.166	13.53
Phum-OR502AA_001_000818.1	eggnog	Cid1 family poly A polymerase	17.252	57.414	71.928
Phum-OR502AA_001_000082.1	unannotated	Hypothetical protein of unknown function	16	29	41
Phum-OR502AA_001_000083.1	eggnog	Ankyrin repeats (many copies)	220	421	768
Phum-OR502AA_001_000084.1	eggnog	A distinct subfamily of CDD/CDA-like deaminases	79	130	187
Phum-OR502AA_001_000085.1	eggnog	Anaphase-promoting complex subunit 11 RING-H2 finger	22	16	34
Phum-OR502AA_001_000817.1	eggnog	Sugar (and other) transporter	123	139	249
Phum-OR502AA_001_000816.1	eggnog	Ion transport protein	638	827	1018
Phum-OR502AA_001_000815.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000086.1	interproscan	SSF50978 domain-containing protein	0	15.264	13.896
Phum-OR502AA_001_000087.1	unannotated	Hypothetical protein of unknown function	0	6.187	9.214
Phum-OR502AA_001_000814.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000813.1	interproscan	SSF50978 domain-containing protein	5.787	14.443	22.925
Phum-OR502AA_001_000812.1	interproscan	SSF50978 domain-containing protein	52.213	161.106	205.964
Phum-OR502AA_001_000088.1	eggnog	Protein tyrosine kinase	205	361	518
Phum-OR502AA_001_000089.1	eggnog	Transglutaminase elicitor	233	200	271
Phum-OR502AA_001_000090.1	eggnog	Pyridoxal-phosphate dependent enzyme	169	171	713
Phum-OR502AA_001_000091.1	unannotated	Hypothetical protein of unknown function	34	40	45
