isolate	read_id	category	gc_pct	cov_median
MSU1	m64474e_240201_042250/12714658/ccs	Bacteroidota	47.06	262.0
MSU1	m64474e_240201_042250/46795080/ccs	Bacteroidota	55.2	49.0
MSU1	m64474e_240201_042250/48694695/ccs	Bacteroidota	46.76	207.0
MSU1	m64474e_240201_042250/50135862/ccs	Bacteroidota	43.2	265.0
MSU1	m64474e_240201_042250/122356318/ccs	Bacteroidota	49.45	174.0
MSU1	m64474e_240201_042250/30083248/ccs	Bacteroidota	45.51	269.0
MSU1	m64474e_240201_042250/160760107/ccs	Bacteroidota	40.84	3.0
MSU1	m64474e_240201_042250/35783144/ccs	Bacteroidota	47.71	88.0
MSU1	m64474e_240201_042250/98503381/ccs	Bacteroidota	44.26	77.0
MSU1	m64474e_240201_042250/54004250/ccs	Bacteroidota	49.55	85.0
MSU1	m64474e_240201_042250/12781996/ccs	Bacteroidota	53.01	289.0
MSU1	m64474e_240201_042250/52561910/ccs	Bacteroidota	43.77	214.0
MSU1	m64474e_240201_042250/38011360/ccs	Bacteroidota	50.65	229.0
MSU1	m64474e_240201_042250/125501734/ccs	Bacteroidota	49.62	257.0
MSU1	m64474e_240201_042250/165087435/ccs	Bacteroidota	50.12	95.0
MSU1	m64474e_240201_042250/70453170/ccs	Bacteroidota	47.04	153.0
MSU1	m64474e_240201_042250/99091907/ccs	Bacteroidota	45.63	101.0
MSU1	m64474e_240201_042250/10683930/ccs	Bacteroidota	32.93	27.0
MSU1	m64474e_240201_042250/10946391/ccs	Bacteroidota	45.26	211.0
MSU1	m64474e_240201_042250/108792075/ccs	Bacteroidota	44.19	278.0
MSU1	m64474e_240201_042250/67963726/ccs	Bacteroidota	42.52	27.0
MSU1	m64474e_240201_042250/48432012/ccs	Bacteroidota	43.07	247.0
MSU1	m64474e_240201_042250/173804379/ccs	Bacteroidota	48.25	208.0
MSU1	m64474e_240201_042250/130547905/ccs	Bacteroidota	47.14	105.0
MSU1	m64474e_240201_042250/127862467/ccs	Bacteroidota	45.06	225.0
MSU1	m64474e_240201_042250/21301582/ccs	Bacteroidota	46.04	245.0
MSU1	m64474e_240201_042250/91292708/ccs	Bacteroidota	44.15	244.0
MSU1	m64474e_240201_042250/51514180/ccs	Bacteroidota	45.22	273.0
MSU1	m64474e_240201_042250/21105263/ccs	Bacteroidota	47.57	727.0
MSU1	m64474e_240201_042250/37029158/ccs	Bacteroidota	45.11	155.0
MSU1	m64474e_240201_042250/80939501/ccs	Bacteroidota	47.44	96.0
MSU1	m64474e_240201_042250/11864573/ccs	Bacteroidota	45.02	190.0
MSU1	m64474e_240201_042250/132122778/ccs	Bacteroidota	48.75	239.0
MSU1	m64474e_240201_042250/35587457/ccs	Bacteroidota	49.79	248.0
MSU1	m64474e_240201_042250/10945574/ccs	Bacteroidota	46.37	93.0
MSU1	m64474e_240201_042250/31786775/ccs	Bacteroidota	34.05	47.0
MSU1	m64474e_240201_042250/41486622/ccs	Bacteroidota	46.04	235.0
MSU1	m64474e_240201_042250/23856277/ccs	Bacteroidota	45.56	247.0
MSU1	m64474e_240201_042250/74975200/ccs	Bacteroidota	44.37	231.0
MSU1	m64474e_240201_042250/96272622/ccs	Bacteroidota	45.82	216.0
MSU1	m64474e_240201_042250/139592872/ccs	Bacteroidota	49.72	87.0
MSU1	m64474e_240201_042250/40173985/ccs	Bacteroidota	50.49	62493.0
MSU1	m64474e_240201_042250/54002951/ccs	Bacteroidota	40.1	3.0
MSU1	m64474e_240201_042250/161350358/ccs	Bacteroidota	49.97	257.0
MSU1	m64474e_240201_042250/172623427/ccs	Bacteroidota	46.15	195.0
MSU1	m64474e_240201_042250/157354159/ccs	Bacteroidota	47.54	99.0
MSU1	m64474e_240201_042250/99746739/ccs	Bacteroidota	49.76	62581.0
MSU1	m64474e_240201_042250/22218804/ccs	Bacteroidota	43.47	268.0
MSU1	m64474e_240201_042250/85525159/ccs	Bacteroidota	45.81	243.0
MSU1	m64474e_240201_042250/65799254/ccs	Bacteroidota	49.57	15709.0
MSU1	m64474e_240201_042250/126288292/ccs	Bacteroidota	47.4	89.0
MSU1	m64474e_240201_042250/59573278/ccs	Bacteroidota	44.99	103.0
MSU1	m64474e_240201_042250/21498115/ccs	Bacteroidota	46.24	187.0
MSU1	m64474e_240201_042250/136118359/ccs	Bacteroidota	47.72	84.0
MSU1	m64474e_240201_042250/1938/ccs	Bacteroidota	45.35	192.0
MSU1	m64474e_240201_042250/175311346/ccs	Bacteroidota	44.94	281.0
MSU1	m64474e_240201_042250/24052909/ccs	Bacteroidota	32.38	28.0
MSU1	m64474e_240201_042250/93651019/ccs	Bacteroidota	55.09	275.0
MSU1	m64474e_240201_042250/35326178/ccs	Bacteroidota	47.01	167.0
MSU1	m64474e_240201_042250/53347123/ccs	Bacteroidota	47.83	173.0
MSU1	m64474e_240201_042250/80478863/ccs	Bacteroidota	42.59	239.0
MSU1	m64474e_240201_042250/76874245/ccs	Bacteroidota	44.03	240.0
MSU1	m64474e_240201_042250/145425274/ccs	Bacteroidota	46.01	204.0
MSU1	m64474e_240201_042250/125044985/ccs	Bacteroidota	49.78	62337.0
MSU1	m64474e_240201_042250/73206012/ccs	Bacteroidota	46.08	188.0
MSU1	m64474e_240201_042250/48106069/ccs	Bacteroidota	48.13	97.0
MSU1	m64474e_240201_042250/98567973/ccs	Bacteroidota	42.73	30.0
MSU1	m64474e_240201_042250/101451449/ccs	Bacteroidota	46.4	238.0
MSU1	m64474e_240201_042250/104598209/ccs	Bacteroidota	44.54	240.0
MSU1	m64474e_240201_042250/122095297/ccs	Bacteroidota	48.9	257.0
MSU1	m64474e_240201_042250/40960611/ccs	Bacteroidota	32.78	45.0
MSU1	m64474e_240201_042250/58197612/ccs	Bacteroidota	43.1	173.0
MSU1	m64474e_240201_042250/154402991/ccs	Bacteroidota	44.07	213.0
MSU1	m64474e_240201_042250/124913339/ccs	Bacteroidota	49.04	264.0
MSU1	m64474e_240201_042250/77792727/ccs	Bacteroidota	45.22	194.0
MSU1	m64474e_240201_042250/33358965/ccs	Bacteroidota	46.76	81.0
MSU1	m64474e_240201_042250/33947956/ccs	Bacteroidota	46.63	1558.0
MSU1	m64474e_240201_042250/179832607/ccs	Bacteroidota	46.24	250.0
MSU1	m64474e_240201_042250/68749487/ccs	Bacteroidota	44.82	173.0
MSU1	m64474e_240201_042250/88606609/ccs	Bacteroidota	44.76	86.0
MSU1	m64474e_240201_042250/30670936/ccs	Bacteroidota	48.95	191.0
MSU1	m64474e_240201_042250/162989148/ccs	Bacteroidota	43.67	294.0
MSU1	m64474e_240201_042250/112787867/ccs	Bacteroidota	45.85	173.0
MSU1	m64474e_240201_042250/31459271/ccs	Bacteroidota	46.94	149.0
MSU1	m64474e_240201_042250/173932885/ccs	Bacteroidota	42.56	6.0
MSU1	m64474e_240201_042250/57279138/ccs	Bacteroidota	48.36	104.0
MSU1	m64474e_240201_042250/166593038/ccs	Bacteroidota	43.37	237.0
MSU1	m64474e_240201_042250/36700686/ccs	Bacteroidota	49.1	249.0
MSU1	m64474e_240201_042250/43779873/ccs	Bacteroidota	49.66	274.0
MSU1	m64474e_240201_042250/27789769/ccs	Bacteroidota	45.87	188.0
MSU1	m64474e_240201_042250/30411285/ccs	Bacteroidota	42.39	2.0
MSU1	m64474e_240201_042250/32047819/ccs	Bacteroidota	33.12	30.0
MSU1	m64474e_240201_042250/167904789/ccs	Bacteroidota	46.44	224.0
MSU1	m64474e_240201_042250/157092062/ccs	Bacteroidota	50.37	465.0
MSU1	m64474e_240201_042250/48038727/ccs	Bacteroidota	44.95	233.0
MSU1	m64474e_240201_042250/21823496/ccs	Bacteroidota	47.71	104.0
MSU1	m64474e_240201_042250/140313845/ccs	Bacteroidota	49.89	82.0
MSU1	m64474e_240201_042250/131858782/ccs	Bacteroidota	48.09	176.0
MSU1	m64474e_240201_042250/180356040/ccs	Bacteroidota	45.57	278.0
MSU1	m64474e_240201_042250/103940587/ccs	Bacteroidota	35.32	40.0
MSU1	m64474e_240201_042250/107152794/ccs	Bacteroidota	49.36	1554.0
MSU1	m64474e_240201_042250/158138685/ccs	Bacteroidota	46.43	255.0
MSU1	m64474e_240201_042250/6226564/ccs	Bacteroidota	47.09	225.0
MSU1	m64474e_240201_042250/163514592/ccs	Bacteroidota	48.85	1173.0
MSU1	m64474e_240201_042250/24053272/ccs	Bacteroidota	46.59	82.0
MSU1	m64474e_240201_042250/45549491/ccs	Bacteroidota	45.45	63.0
MSU1	m64474e_240201_042250/120261066/ccs	Bacteroidota	45.38	281.0
MSU1	m64474e_240201_042250/161811193/ccs	Bacteroidota	43.4	228.0
MSU1	m64474e_240201_042250/53020636/ccs	Bacteroidota	45.88	233.0
MSU1	m64474e_240201_042250/8914309/ccs	Bacteroidota	44.92	174.0
MSU1	m64474e_240201_042250/142740218/ccs	Bacteroidota	45.13	237.0
MSU1	m64474e_240201_042250/7144131/ccs	Bacteroidota	44.47	220.0
MSU1	m64474e_240201_042250/167249651/ccs	Bacteroidota	47.47	90.0
MSU1	m64474e_240201_042250/137037614/ccs	Bacteroidota	43.49	40.0
MSU1	m64474e_240201_042250/20840472/ccs	Bacteroidota	48.47	100.0
MSU1	m64474e_240201_042250/44893007/ccs	Bacteroidota	41.24	207.0
MSU1	m64474e_240201_042250/84608155/ccs	Bacteroidota	50.64	275.0
