file	S	D	F	I	M	N	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
Bremia_lactucae_SF5	95.70%	3.16%	0.14%	0.00%	1.00%	697	220	214	160	120	79	55	115935664	115930437	115782306	115481774	114766319	113924609	220	16032334	115935664	45.85	5324134	1233567	6241117.4	7	23	21496.42
Peronospora_destructor_Pd_K2019	97.85%	1.58%	0.14%	0.00%	0.43%	697	74	73	73	71	68	62	29334786	29334473	29334473	29320227	29281385	29080324	73	2283970	29334473	48.48	727749	202513	906930.3	12	42	0.00
Peronospora_effusa_UA202013	99.28%	0.72%	0.00%	0.00%	0.00%	697	17	17	17	17	17	17	58578433	58578433	58578433	58578433	58578433	58578433	17	8417896	58578433	48.58	3727724	2196953	4242195.3	6	15	0.17
Phytophthora_agathidicida_3770	99.00%	0.86%	0.00%	0.00%	0.14%	697	11	11	11	11	11	10	56996300	56996300	56996300	56996300	56996300	56959471	11	10534528	56996300	53.12	7450011	3225653	7018223.9	4	8	0.13
Phytophthora_capsici_BYA5	96.13%	3.30%	0.14%	0.00%	0.43%	697	63	63	63	62	50	34	80457273	80457273	80457273	80451728	80229987	79674167	63	8587003	80457273	51.16	3879088	2735685	4600813.1	8	17	0.12
Phytophthora_infestans_1306	76.33%	22.53%	0.00%	0.00%	1.15%	697	632	632	616	545	333	156	246895792	246895792	246828101	246293331	242659835	236426752	632	22923084	246895792	51.58	13450935	432229	13681504.9	8	22	1545.58
Phytophthora_plurivora_TJ71	98.42%	1.43%	0.14%	0.00%	0.00%	697	18	18	18	18	18	18	46875527	46875527	46875527	46875527	46875527	46875527	18	6640950	46875527	51.90	2994498	1287134	3386275.6	6	15	8.50
Phytophthora_ramorum_Pr_102	97.42%	2.58%	0.00%	0.00%	0.00%	697	28	28	28	28	28	28	57451392	57451392	57451392	57451392	57451392	57451392	28	6138019	57451392	54.37	3611744	1156066	3504717.7	6	18	341.32
Phytophthora_sojae_JS2	98.57%	1.43%	0.00%	0.00%	0.00%	697	12	12	12	12	12	12	85131815	85131815	85131815	85131815	85131815	85131815	12	12371788	85131815	54.81	8105859	4824709	8105589.8	5	10	0.00
Plasmopara_halstedii_710	98.13%	0.72%	0.14%	0.00%	1.00%	697	86	86	86	86	80	74	74801452	74801452	74801452	74801452	74688580	74510351	86	4219765	74801452	45.75	1332092	562243	1534472.5	20	52	0.00
Pythium_oligandrum_P_O1	99.86%	0.14%	0.00%	0.00%	0.00%	697	71	71	69	68	53	45	39101442	39101442	39093267	39084389	38860133	38578396	71	3485661	39101442	53.32	1452685	376616	1615411.9	9	27	108.23
