protein_id	contig	start_1based	end_1based	post_split_start	post_split_end	strand	gene_length_bp	mean_depth_mq0	covered_fraction_mq0	mean_depth_filtered	covered_fraction_filtered	filtered_to_mq0_ratio	filtered_vs_upstream_mean_ratio	filtered_vs_post_gap_mean_ratio	filtered_vs_upstream_window_median_ratio	filtered_vs_post_gap_window_median_ratio
Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	17847	19205	-	1359	111.228109	1.000000	107.532745	1.000000	0.966777	0.576316	0.559088	1.180450	1.090859
Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	19466	20711	-	1246	126.662921	1.000000	104.139647	1.000000	0.822179	0.558130	0.541446	1.143202	1.056438
Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	20939	22275	-	1337	96.462977	1.000000	83.964099	1.000000	0.870428	0.450001	0.436549	0.921723	0.851768
Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	36408	37568	+	1161	96.074935	1.000000	94.693368	1.000000	0.985620	0.507504	0.492333	1.039505	0.960611
Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	37938	39139	+	1202	121.858569	1.000000	96.126456	1.000000	0.788836	0.515184	0.499784	1.055237	0.975149
Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	68364	69711	+	1348	52.422849	1.000000	52.422849	1.000000	1.000000	0.280957	0.272559	0.575476	0.531800
Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	110128	111275	-	1148	78.135889	1.000000	76.272648	1.000000	0.976154	0.408779	0.396559	0.837290	0.773743
Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	111645	112814	-	1170	75.565812	1.000000	72.565812	1.000000	0.960300	0.388912	0.377287	0.796598	0.736139
Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	113175	114344	-	1170	83.941026	1.000000	78.829060	1.000000	0.939101	0.422480	0.409851	0.865353	0.799676
Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	114714	115900	-	1187	78.235046	1.000000	60.584667	1.000000	0.774393	0.324700	0.314994	0.665073	0.614597
Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	116252	117416	-	1165	70.367382	1.000000	38.187983	1.000000	0.542694	0.204666	0.198548	0.419212	0.387396
Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	117742	118952	-	1211	55.015690	1.000000	32.583815	1.000000	0.592264	0.174631	0.169411	0.357692	0.330544
Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	119316	120502	-	1187	63.100253	1.000000	52.632687	1.000000	0.834112	0.282082	0.273650	0.577780	0.533929
Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	120883	122686	-	1804	77.734479	1.000000	76.645233	1.000000	0.985988	0.410776	0.398497	0.841380	0.777523
